"Dispensary","Hoodie ID","License #","Carried SKUs","SKU Count Change (since last week)","Total Monthly Sales","Address"
"Belushi's Animal House Cannabis Dispensary","11578","050-1004152E8C9","670","4% (+24)","under $250k","588 E 11TH AVE, Eugene, Oregon, USA"
"SpaceBuds The Dispensary","10710","050-100580873A9","590","4% (+24)","under $250k","741 Lincoln St, Eugene, OR 97401, USA"
"The Green Planet - Newberg","masterauto1740786795390","050-10158479E34","468","5% (+24)","N/A","301 W 1st St, Newberg, OR 97132, USA"
"Herbal Choices - North Bend","13899","050-101188454E0","368","7% (+24)","under $250k","1845 N, Sherman Ave, North Bend, OR 97459, USA"
"WeedAgain - Fairgrounds","18825","050 1011660580D","285","9% (+24)","under $250k","2390 Fairgrounds Rd NE, Salem, OR 97301, USA"
"Nectar - Beaverton Regatta","12254","050-10087509BD5","786","3% (+26)","$250k-$500k","15930 SW Regatta Ln, Beaverton, OR 97006, USA"
"Blue Dream Cannabis and Vintage - Portland","masterauto1655819591648","050-1018267C84D","304","9% (+26)","under $250k","1436 SE Powell Blvd Frontage Rd, Portland, OR 97202, USA"
"SkunkRx","11033","050 10050652956","132","25% (+26)","under $250k","8979 Rogue River Hwy, Grants Pass, OR 97527, USA"
"Smooth Roots Cannabis","11432","050-1015469C6E0","794","4% (+28)","$250k-$500k","1500 SW Baker St, McMinnville, OR 97128, USA"
"Nectar - Milwaukie McLoughlin","11602","050-10109253AEE","646","5% (+28)","under $250k","13800 SE McLoughlin Blvd, Milwaukie, OR 97222, USA"
"Next Level Wellness","15009","050 1000788C835","330","9% (+28)","under $250k","2837 Willamette St A, Eugene, OR 97405, USA"
"Cannabend","15026","050-10027156F6D","322","10% (+28)","under $250k","3312 N Hwy 97, Bend, OR 97703, USA"
"Emerald City Medicinal","13773","050-10002659379","167","20% (+28)","under $250k","1474 W 6th Ave, Eugene, OR 97402, USA"
"CannaKing Marijuana Dispensaries","10798","050 100366249CB","143","24% (+28)","under $250k","1449 NW Mulholland Dr, Roseburg, OR 97470, USA"
"Elevate Northwest","masterauto1655828737476","5010191166307","128","28% (+28)","under $250k","3700 River Rd N, Suite 9, Keizer, Oregon, USA"
"Kaleafa Cannabis Company - Ashland","14449","050-10075721DCC","346","9% (+29)","under $250k","1253 Siskiyou Blvd, Ashland, OR 97520, USA"
"Jenny's Dispensary - Bend","11670","050-10044623308","335","9% (+29)","under $250k","932 NE 3rd St #1, Bend, OR 97701, USA"
"Breeze Botanicals - Ashland","12431","050-10001271938","1252","2% (+30)","under $250k","1526 Siskiyou Blvd, Ashland, OR 97520, USA"
"The Green Planet - Aloha","masterauto1688400101485","050-10137563D3B","802","4% (+30)","under $250k","21600 SW Tualatin Valley Hwy, Beaverton, OR 97006, USA"
"Nectar - Tigard Bull Mountain","masterauto1656006720297","050-1016773ED2A","672","5% (+30)","under $250k","11300 SW Bull Mountain Rd, Tigard, OR 97224, USA"
"HD Botanicals","15619","050-10061656460","370","9% (+30)","under $250k","51366 US-97, La Pine, OR 97739, USA"
"Herbal Choices - Bandon","10167","050-100977881FD","354","9% (+30)","under $250k","50375 US-101, Bandon, OR 97411, USA"
"Substance - Springfield OR","masterauto1690571234110","050-10165853E96","1406","2% (+32)","under $250k","2329 Olympic St, Springfield, OR 97477, USA"
"Substance - Empire","9701","050-1004487C310","1282","3% (+32)","$500k-$750k","20365 Empire Ave Ste 140, Bend, OR 97703, USA"
"High Desert Cannabis","9950","050-1006029FA55","538","6% (+32)","$250k-$500k","341 SW 20th St, Pendleton, OR 97801, USA"
"Five Zero Trees - Oregon City","13726","0501008759BD28","430","8% (+32)","under $250k","719 MAIN ST, Oregon City, Oregon, USA"
"Nectar - Barbur","10980","050-1003305612E","668","5% (+34)","under $250k","10931 SW 53rd Ave, Portland, OR 97219, USA"
"Today's Herbal Choice - Rainier","12720","1004252574B","426","9% (+34)","under $250k","75936 Rock Crest St, Rainier, OR 97048, USA"
"Red Eye - Ontario","masterauto1690581212805","050-1016408A189","370","10% (+35)","under $250k","833 SW 30th St, Ontario, OR 97914, USA"
"High Supply","masterauto1668106519772","050-1016410334A","688","6% (+36)","under $250k","482 NE 3rd St, Ontario, OR 97914, USA"
"Green Cross Cannabis Emporium - Bend","masterauto1619129121452","050-10121623400","498","8% (+36)","under $250k","341 SW Century Dr, Bend, OR 97702, USA"
"Blazen Cannabis","15232","050-10097447A5F","119","43% (+36)","under $250k","800 US-20, Hines, OR 97738, USA"
"Nectar - Eugene River","15076","050-1009286BD03","638","6% (+38)","under $250k","340 River Rd, Eugene, OR 97404, USA"
"Farm Grass Table","11116","050-1004661768A","334","13% (+38)","under $250k","4140 WCLIFF DR, Hood River, Oregon, USA"
"Tj's on Powell","13997","050 10146522DCF","290","15% (+38)","under $250k","7827 SE Powell Blvd, Portland, OR 97206, USA"
"A Better Way Medicinal Alternatives LLC","11957","050-10140009965","371","12% (+41)","under $250k","3255 Washburn Way Suite 4, Klamath Falls, OR 97603, USA"
"Smooth Roots - Astoria","masterauto1654534195598","050-10183318D9E","1060","4% (+42)","under $250k","491 W Marine Dr, Astoria, OR 97103, USA"
"Emerald Triangle - Table Rock","masterauto1670358861921","Unspecified","962","5% (+42)","under $250k","5022 Table Rock Rd Central Point, Central Point, Oregon, USA"
"Mood Fine Cannabis","14541","050-1003141C1C9","68","209% (+46)","under $250k","40 RIVER LOOP RD #2, STE B, Eugene, Oregon, USA"
"The Green Planet - Lake Oswego","masterauto1699653861335","050-1014408AB28","836","6% (+48)","under $250k","15171 Bangy Rd, Lake Oswego, OR 97035, USA"
"Potland","masterauto1619131711601","050-10113847600","750","7% (+48)","under $250k","1761 NE Dekum St, Portland, OR 97211, USA"
"House of Hash","21000","050-1012526D914","506","10% (+48)","under $250k","51456 US-97 #3, La Pine, OR 97739, USA"
"Substance - Southside","11858","050-1009165329F","1276","4% (+50)","$250k-$500k","61406 S Hwy 97, Bend, OR 97702, USA"
"West Coast Organics","10245","050-1005050D2DA","530","10% (+50)","under $250k","855 Railroad St, Brookings, OR 97415, USA"
"Top Crop - Corvallis","16147","050 1004475152E","502","11% (+50)","under $250k","1945 NW 9th St, Corvallis, OR 97330, USA"
"Emerald Triangle - McAndrews","masterauto1675965895491","Unspecified","860","6% (+52)","under $250k","1818 E McAndrews Rd, Medford, OR 97504, USA"
"Green Lion - St. Helens","13517","050-1005553BACC","538","11% (+52)","under $250k","365 S Columbia River Hwy, St Helens, OR 97051, USA"
"The Arboretum - Florence","11240","050-1007718656B","502","12% (+52)","under $250k","1541 US-101, Florence, OR 97439, USA"
"Bloominati Cannabis","13184","050-101408643F8","280","23% (+52)","under $250k","240 SW Washington Ave, Corvallis, OR 97333, USA"
"Nectar - Grants Pass","masterauto1646414149944","050-101796000AF","712","9% (+56)","under $250k","162 NE Beacon Dr Suite 105, Grants Pass, OR 97526, USA"
"WeedAgain - North Bend","masterauto1721229794353","050-10237673BCC","632","10% (+56)","under $250k","2674 Broadway Ave, North Bend, OR 97459, USA"
"Smiles Cannabis","masterauto1629814002759","050-101648406F4","330","21% (+58)","under $250k","655 NE Chestnut Ave, Roseburg, OR 97470, USA"
"Vibe - Amberlight - Portland","17420","050-1014138FB3D","240","32% (+58)","under $250k","2407 SE 49th Ave, Portland, OR 97206, USA"
"Klamath Falls Cannabis","masterauto1675970439613","050-10160727FB1","872","10% (+82)","$250k-$500k","2972 S 6th St C, Klamath Falls, OR 97603, USA"
"Mint Cannabis Company","masterauto1657581238943","050-10221550293","576","17% (+84)","$250k-$500k","625 SW 10th Ave, Portland, OR 97205, USA"
"SWED.CO","18567","050 1004330B65D","540","22% (+96)","$250k-$500k","2058 NW Burnside Rd, Gresham, OR 97030, USA"
"Five Zero Trees - Astoria","10804","050101405144D4","118","N/A (+118)","under $250k","1169 COMMERCIAL ST, Astoria, Oregon, USA"
"Kingston’s Cannabis Dispensary","masterauto1656100627631","050-1022344EC85","180","N/A (+180)","under $250k","2366 Ashland St, Ashland, OR 97520, USA"
