"Dispensary","Hoodie ID","License #","Carried SKUs","SKU Count Change (since last week)","Total Monthly Sales","Address"
"Truth Dispensary - Coops","masterauto1746928253478","Unspecified","654","2% (-16)","under $250k","1025 Lancaster Dr Southeast, Salem, Oregon, USA"
"DiamondTree - Westside - Bend","14892","050-10000590807","634","2% (-16)","under $250k","1233 NW Galveston Ave, Bend, OR 97703, USA"
"The Medication Station - Cottage Grove","11455","050-1002566EF10","604","3% (-16)","under $250k","1041 N Pacific Hwy, Cottage Grove, OR 97424, USA"
"Broadway Cannabis Market Forest Grove Dispensary","10458","050-1003884B7AC","482","3% (-16)","under $250k","3821 PACIFIC AVE, Forest Grove, Oregon, USA"
"Canna Bros - Stayton","16487","050-10107001EDC","470","3% (-16)","under $250k","2420 Martin Dr, Stayton, OR 97383, USA"
"Oregon's Herbal Remedies","13005","050 1000929AF4B","394","4% (-16)","under $250k","88344 Territorial Hwy, Veneta, OR 97487, USA"
"The Greener Side - River rd","10471","050-1007242C532","312","5% (-16)","under $250k","1407 River Rd, Eugene, OR 97404, USA"
"Green Apple N.W.","10153","050-1004120449B","302","5% (-16)","under $250k","24180 SE Borges Rd, Damascus, OR 97089, USA"
"Cannabis LLC","13490","050-10010193FDD","280","5% (-16)","under $250k","1936 Main St, Springfield, OR 97477, USA"
"Beaver Bowls","11676","050 100331502C1","278","5% (-16)","under $250k","227 SW 6th St, Corvallis, OR 97333, USA"
"ASAP BUDS COLLECTIVE - Beaverton","masterauto1734975977061","050-6822","241","6% (-16)","under $250k","9255 ne rockspring st apt B102, Beaverton, Oregon, USA"
"Canna Bros. - Sheridan","10241","050-10032789CAF","230","7% (-16)","under $250k","1210 W Main St, Sheridan, OR 97378, USA"
"Columbia River Herbals","14134","050-10040800D20","185","8% (-16)","under $250k","2630 W 6th St, The Dalles, OR 97058, USA"
"Bridge City Collective - Southeast Portland","11369","050-100420301FA","180","8% (-16)","under $250k","215 SE Grand Ave, Portland, OR 97214, USA"
"Oregon Bud Company - Beaverton","11125","050-1000652B6CC","167","9% (-16)","under $250k","3270 SW Cedar Hills Blvd UNIT 104, Beaverton, OR 97005, USA"
"Gnome Grown Beaver Creek","13723","050 1004511D431","158","9% (-16)","under $250k","2005 Beavercreek Rd, Oregon City, OR 97045, USA"
"Stinkin Budz - Salem","13706","105-10052885d4c","774","2% (-15)","under $250k","1040 Commercial St SE, Salem, OR 97302, USA"
"Deanz Greenz - Division","masterauto1629305273668","050 1015964A387","149","9% (-15)","$250k-$500k","14154 SE Division St, Portland, OR 97236, USA"
"Nectar - Gresham 3rd","masterauto1648665947005","050-101825983BC","678","2% (-14)","$250k-$500k","2445 SE 3rd St, Gresham, OR 97080, USA"
"Smooth Roots - Portland","masterauto1667506866855","050-102238492F7","491","3% (-14)","under $250k","5938 N Greeley Ave, Portland, OR 97217, USA"
"Kush Cart Delivery","18596","050-10055625B58","258","5% (-14)","N/A"," , Portland, Oregon, USA"
"Coastal Craft Cannabis","masterauto1660320653280","050-10187941F4A","240","6% (-14)","under $250k","200 N Roosevelt Dr, Seaside, OR 97138, USA"
"Deanz Greenz - Sandy","9783","050 1015964A387","158","8% (-14)","under $250k","10415 NE Sandy Blvd, Portland, OR 97220, USA"
"Kind Heart Collective","11620","050-1000396C575","149","9% (-14)","under $250k","(address is correct, doesn't match pin on map), 8217 N Denver Ave, Portland, OR 97217, USA"
"Buzz Box","20978","Unspecified","112","11% (-14)","under $250k","6611 SE Powell Blvd, Portland, OR 97206, USA"
"Power Plant on Thurman","12839","Unspecified","274","5% (-13)","under $250k","2384 NW Thurman St, Portland, OR 97210, USA"
"Floyd's Fine Cannabis on Broadway","14635","050-1007632F435","158","8% (-13)","under $250k","801 NE Broadway, Portland, OR 97232, USA"
"Good Karma","17673","050-10010073418","101","11% (-13)","under $250k","Good Karma, 3332 Main St, Springfield, OR 97478, USA"
"Northwest Advantage - Corvallis","10682","050 100664391F4","778","2% (-12)","under $250k","3478 NE Hwy 101, Lincoln City, OR 97367, USA"
"Nectar - Terwilliger","12163","050-1003305612E","716","2% (-12)","under $250k","8601 SW Terwilliger Blvd, Portland, OR 97219, USA"
"Nectar - Portland Division","15486","050 101431471DA","692","2% (-12)","under $250k","2123 SE Division St, Portland, OR 97214, USA"
"Chalice Farms - Dundee","11702","050-10079928B63","654","2% (-12)","under $250k","1178 SW OR-99W, Dundee, Oregon, USA"
"Nectar - Portland Alberta","masterauto1656100640921","050-10190196896","578","2% (-12)","under $250k","2338 NE Alberta St, Portland, OR 97211, USA"
"Cookies - Ontario","masterauto1698079001680","Unspecified","482","2% (-12)","under $250k","2317 NW 11th St, Ontario, OR 97914, USA"
"Today's Herbal Choice - Barbur","12929","050-1010496F611","416","3% (-12)","under $250k","9220 SW Barbur Blvd #107, Portland, OR 97219, USA"
"Oregon's Finest - Pearl","14151","050 1000161114D","285","4% (-12)","under $250k","911 NW 14th Ave, Portland, OR 97209, USA"
"Bud Bros - Brookings","14281","050 10054414005","238","5% (-12)","under $250k","1240 CHETCO AVE, Suite E and F, Brookings, Oregon, USA"
"The New Amsterdam - Kerby","14831","050-10042321958","230","5% (-12)","under $250k","24394 Redwood Hwy, Kerby, OR 97531, USA"
"Plantae Health Center - Madras","11315","050-10037199BA2","220","5% (-12)","under $250k","1100 US-97 #103, Madras, OR 97741, USA"
"Budlandia - Woodward","11099","050-1008031898B","214","5% (-12)","under $250k","8135 SE Woodward St, Portland, OR 97206, USA"
"Peach Cannabis","12893","050 1016162FFA8","148","8% (-12)","under $250k","1553 Oak St, Eugene, OR 97401, USA"
"NoDak Green Prairie","13267","050-1000345DEA9","76","14% (-12)","under $250k","390 Coburg Rd, Eugene, OR 97401, USA"
"Emerald Triangle Dispensary - Klamath","9912","050-10050834F0C","486","2% (-11)","under $250k","3480 Washburn Way ste d, Klamath Falls, OR 97603, USA"
"Emerald Triangle Dispensary - Medford","10586","050-10050834F0C","423","3% (-11)","under $250k","246 E 10th St, Medford, OR 97501, USA"
"Floyd's Fine Cannabis on 28th","12664","050-10068514E68","185","6% (-11)","under $250k","5217 SE 28th Ave, Portland, OR 97202, USA"
"Floyd's Fine Cannabis on Sandy","14182","050-1006884F4A9","171","6% (-11)","under $250k","5944 NE Sandy Blvd, Portland, OR 97213, USA"
"The Spot Cannabis Collective - N. Medford","15736","050-1010254919C","1479","1% (-10)","$250k-$500k","2590 Crater Lake Hwy, Medford, OR 97504, USA"
"Top Hat Express","14954","#050-101338246B5","696","1% (-10)","under $250k","11916 SE 22nd Ave Unit B, Milwaukie, OR 97222, USA"
"Chalice Farms - Powell","11882","050-10086554F25","672","1% (-10)","under $250k","5333 SE POWELL BLVD, Portland, Oregon, USA"
"Nectar - Eugene 6th","11848","050-1003305612E","654","2% (-10)","under $250k","698 W 6th Ave, Eugene, OR 97402, USA"
"The Joint on Market - Salem","18675","050-1000080680D","470","2% (-10)","under $250k","3270 Market St NE, Salem, OR 97301, USA"
"Better Daze - Eugene","14488","050 10146546503","456","2% (-10)","under $250k","1910 EMPIRE PARK DR, Eugene, Oregon, USA"
"Green Room - Campus","14217","050-10038995791","411","2% (-10)","under $250k","111 NW 16th St, Corvallis, OR 97330, USA"
"Broadway Cannabis Market - McLoughlin Blvd","masterauto1723835745957","Unspecified","394","2% (-10)","N/A","219 SW Broadway, Portland, OR 97205, USA"
